"opioid_type";"race";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"natural";"black";1;0;1999;2014;7.931;7.326;8.540;1;29.317;0.000
"natural";"black";1;1;2014;2016;19.235;10.047;29.190;1;4.740;0.000
"natural";"total";2;0;1999;2010;12.463;11.314;13.623;1;25.496;0.000
"natural";"total";2;1;2010;2013;-1.361;-11.045;9.377;0;-0.296;0.774
"natural";"total";2;2;2013;2016;7.412;2.353;12.722;1;3.302;0.008
"natural";"white";1;0;1999;2009;13.405;11.647;15.192;1;17.386;0.000
"natural";"white";1;1;2009;2016;3.233;1.471;5.026;1;3.992;0.002
"nonh_nonm";"black";1;0;1999;2013;-0.939;-2.424;0.569;0;-1.349;0.200
"nonh_nonm";"black";1;1;2013;2016;47.791;32.654;64.657;1;7.810;0.000
"nonh_nonm";"total";2;0;1999;2009;7.997;6.894;9.112;1;16.693;0.000
"nonh_nonm";"total";2;1;2009;2014;2.620;-0.606;5.949;0;1.804;0.101
"nonh_nonm";"total";2;2;2014;2016;35.756;25.553;46.787;1;8.718;0.000
"nonh_nonm";"white";2;0;1999;2009;9.357;8.240;10.485;1;19.418;0.000
"nonh_nonm";"white";2;1;2009;2014;2.636;-0.525;5.898;0;1.853;0.094
"nonh_nonm";"white";2;2;2014;2016;34.629;24.570;45.500;1;8.532;0.000
"nonopioid";"black";3;0;1999;2006;8.040;5.913;10.210;1;9.194;0.000
"nonopioid";"black";3;1;2006;2009;-9.865;-20.965;2.794;0;-1.869;0.104
"nonopioid";"black";3;2;2009;2014;0.999;-3.274;5.460;0;0.544;0.603
"nonopioid";"black";3;3;2014;2016;17.069;4.051;31.715;1;3.161;0.016
"nonopioid";"total";1;0;1999;2006;8.450;6.393;10.547;1;9.151;0.000
"nonopioid";"total";1;1;2006;2016;1.093;0.208;1.986;1;2.672;0.019
"nonopioid";"white";1;0;1999;2006;9.427;7.584;11.302;1;11.458;0.000
"nonopioid";"white";1;1;2006;2016;1.444;0.661;2.234;1;3.995;0.002
"opioid";"black";1;0;1999;2012;0.367;-1.068;1.823;0;0.550;0.592
"opioid";"black";1;1;2012;2016;27.460;20.215;35.141;1;8.958;0.000
"opioid";"total";2;0;1999;2006;10.822;8.681;13.005;1;11.737;0.000
"opioid";"total";2;1;2006;2013;4.064;2.213;5.949;1;4.945;0.001
"opioid";"total";2;2;2013;2016;18.540;13.718;23.566;1;9.126;0.000
"opioid";"white";2;0;1999;2006;12.475;10.224;14.773;1;12.957;0.000
"opioid";"white";2;1;2006;2013;4.463;2.577;6.383;1;5.339;0.000
"opioid";"white";2;2;2013;2016;17.820;12.894;22.960;1;8.556;0.000
"other_op";"black";1;0;1999;2014;-8.476;-9.589;-7.349;1;-15.637;0.000
"other_op";"black";1;1;2014;2016;16.965;-17.653;66.137;0;0.965;0.352
"other_op";"total";0;0;1999;2016;-1.543;-2.064;-1.020;1;-6.216;0.000
"other_op";"white";0;0;1999;2016;-0.237;-0.752;0.280;0;-0.974;0.345
"synth";"black";1;0;1999;2013;5.108;-6.160;17.730;0;0.949;0.360
"synth";"black";1;1;2013;2016;128.209;61.589;222.296;1;5.164;0.000
"synth";"total";2;0;1999;2006;18.043;11.451;25.026;1;6.431;0.000
"synth";"total";2;1;2006;2013;1.989;-2.944;7.173;0;0.885;0.397
"synth";"total";2;2;2013;2016;87.694;74.300;102.118;1;18.949;0.000
"synth";"white";2;0;1999;2006;17.882;11.531;24.594;1;6.619;0.000
"synth";"white";2;1;2006;2013;2.750;-2.042;7.776;0;1.266;0.234
"synth";"white";2;2;2013;2016;84.701;71.656;98.738;1;18.665;0.000
