"opioid_type";"race";"year";"std_rate";"Model";"Standard Error";"Flag";"Joinpoints";"Final Selected Model"
"drug";"total";1984;3.61431;3.69462;0.04076;NA;5;5
"drug";"total";1985;3.88100;3.85244;0.04193;NA;5;5
"drug";"total";1986;4.27601;4.01700;0.04352;NA;5;5
"drug";"total";1987;4.13776;4.18859;0.04250;NA;5;5
"drug";"total";1988;4.61392;4.36752;0.04446;NA;5;5
"drug";"total";1989;4.70082;4.55408;0.04457;NA;5;5
"drug";"total";1990;4.26343;4.74861;0.04225;NA;5;5
"drug";"total";1991;4.54630;4.95146;0.04319;NA;5;5
"drug";"total";1992;5.02014;5.16296;0.04493;NA;5;5
"drug";"total";1993;5.63924;5.38350;0.04726;NA;5;5
"drug";"total";1994;5.77568;5.61347;0.04748;NA;5;5
"drug";"total";1995;5.80622;5.85325;0.04724;NA;5;5
"drug";"total";1996;5.98213;6.10328;0.04763;NA;5;5
"drug";"total";1997;6.42298;6.36399;0.04906;NA;5;5
"drug";"total";1998;6.73947;6.63584;0.04999;NA;5;5
"drug";"total";1999;NA;6.77609;NA;NA;5;5
"drug";"total";1999;NA;5.99543;NA;NA;5;5
"drug";"total";1999;6.15254;6.12214;0.04749;NA;5;5
"drug";"total";2000;6.16258;6.38366;0.04676;Joinpoint 2;5;5
"drug";"total";2001;6.78975;7.03128;0.04881;NA;5;5
"drug";"total";2002;8.15807;7.74460;0.05328;NA;5;5
"drug";"total";2003;8.86639;8.53029;0.05534;NA;5;5
"drug";"total";2004;9.33529;9.39569;0.05655;NA;5;5
"drug";"total";2005;10.02347;10.34888;0.05832;NA;5;5
"drug";"total";2006;11.44337;11.39878;0.06206;Joinpoint 3;5;5
"drug";"total";2007;11.85123;11.66298;0.06291;NA;5;5
"drug";"total";2008;11.88161;11.93331;0.06282;NA;5;5
"drug";"total";2009;11.94863;12.20990;0.06282;NA;5;5
"drug";"total";2010;12.26744;12.49290;0.06350;NA;5;5
"drug";"total";2011;13.15767;12.78247;0.06570;NA;5;5
"drug";"total";2012;13.10655;13.07874;0.06542;NA;5;5
"drug";"total";2013;13.74584;13.38188;0.06678;Joinpoint 4;5;5
"drug";"total";2014;14.66622;15.05789;0.06897;NA;5;5
"drug";"total";2015;16.29631;16.94381;0.07269;NA;5;5
"drug";"total";2016;19.72906;19.06593;0.07990;NA;5;5
"drug";"total";2017;21.69708;21.45384;0.08369;Joinpoint 5;5;5
"drug";"total";2018;20.68034;21.36255;0.08153;NA;5;5
"drug";"total";2019;21.60381;21.27165;0.08322;NA;5;5
"drug";"white";1979;3.75083;3.44486;0.04630;NA;5;5
"drug";"white";1980;3.55380;3.51654;0.04491;NA;5;5
"drug";"white";1981;3.49857;3.58971;0.04426;NA;5;5
"drug";"white";1982;3.53100;3.66440;0.04389;NA;5;5
"drug";"white";1983;3.54739;3.74064;0.04379;NA;5;5
"drug";"white";1984;3.53739;3.81848;0.04324;NA;5;5
"drug";"white";1985;3.84507;3.89793;0.04480;NA;5;5
"drug";"white";1986;4.19228;3.97903;0.04628;NA;5;5
"drug";"white";1987;3.95822;4.06182;0.04474;NA;5;5
"drug";"white";1988;4.39346;4.14634;0.04674;NA;5;5
"drug";"white";1989;4.44600;4.23261;0.04677;NA;5;5
"drug";"white";1990;4.14922;4.32068;0.04501;Joinpoint 1;5;5
"drug";"white";1991;4.32530;4.55079;0.04556;NA;5;5
"drug";"white";1992;4.80743;4.79316;0.04764;NA;5;5
"drug";"white";1993;5.32049;5.04843;0.04984;NA;5;5
"drug";"white";1994;5.41153;5.31731;0.04995;NA;5;5
"drug";"white";1995;5.48178;5.60050;0.04998;NA;5;5
"drug";"white";1996;5.75314;5.89877;0.05095;NA;5;5
"drug";"white";1997;6.22023;6.21293;0.05277;NA;5;5
"drug";"white";1998;6.58046;6.54382;0.05408;NA;5;5
"drug";"white";1999;NA;6.71581;NA;NA;5;5
"drug";"white";1999;NA;6.13878;NA;NA;5;5
"drug";"white";1999;6.20900;6.30013;0.05242;NA;5;5
"drug";"white";2000;6.37375;6.63566;0.05264;Joinpoint 2;5;5
"drug";"white";2001;7.11267;7.37188;0.05544;NA;5;5
"drug";"white";2002;8.69492;8.18977;0.06118;NA;5;5
"drug";"white";2003;9.57937;9.09840;0.06413;NA;5;5
"drug";"white";2004;10.16148;10.10785;0.06594;NA;5;5
"drug";"white";2005;10.87467;11.22929;0.06805;NA;5;5
"drug";"white";2006;12.45768;12.47515;0.07273;Joinpoint 3;5;5
"drug";"white";2007;13.17455;12.91882;0.07469;NA;5;5
"drug";"white";2008;13.43418;13.37827;0.07537;NA;5;5
"drug";"white";2009;13.53164;13.85405;0.07559;NA;5;5
"drug";"white";2010;14.05542;14.34676;0.07707;NA;5;5
"drug";"white";2011;15.08507;14.85699;0.07993;NA;5;5
"drug";"white";2012;15.02844;15.38536;0.07975;NA;5;5
"drug";"white";2013;15.74711;15.93253;0.08154;NA;5;5
"drug";"white";2014;16.79464;16.49916;0.08438;Joinpoint 4;5;5
"drug";"white";2015;18.67541;18.81943;0.08922;NA;5;5
"drug";"white";2016;22.35232;21.46600;0.09784;NA;5;5
"drug";"white";2017;24.34393;24.48476;0.10219;Joinpoint 5;5;5
"drug";"white";2018;22.92302;23.76860;0.09914;NA;5;5
"drug";"white";2019;23.48516;23.07340;0.10037;NA;5;5
"nonopioid";"black";1979;3.18976;3.17343;0.12632;NA;5;5
"nonopioid";"black";1980;3.37663;3.31515;0.13254;NA;5;5
"nonopioid";"black";1981;3.65442;3.46320;0.13555;NA;5;5
"nonopioid";"black";1982;3.35257;3.61787;0.12675;NA;5;5
"nonopioid";"black";1983;3.13794;3.77944;0.12374;NA;5;5
"nonopioid";"black";1984;3.70419;3.94822;0.13072;NA;5;5
"nonopioid";"black";1985;3.61408;4.12454;0.12826;NA;5;5
"nonopioid";"black";1986;4.40497;4.30874;0.14006;NA;5;5
"nonopioid";"black";1987;4.82246;4.50116;0.14233;NA;5;5
"nonopioid";"black";1988;5.35121;4.70218;0.14774;NA;5;5
"nonopioid";"black";1989;5.58734;4.91217;0.15022;NA;5;5
"nonopioid";"black";1990;4.20229;5.13154;0.12985;NA;5;5
"nonopioid";"black";1991;5.33158;5.36071;0.14332;NA;5;5
"nonopioid";"black";1992;5.44668;5.60011;0.14326;NA;5;5
"nonopioid";"black";1993;6.40656;5.85020;0.15315;NA;5;5
"nonopioid";"black";1994;6.74124;6.11146;0.15591;NA;5;5
"nonopioid";"black";1995;6.38882;6.38439;0.14937;NA;5;5
"nonopioid";"black";1996;6.37091;6.66951;0.14742;NA;5;5
"nonopioid";"black";1997;6.74661;6.96736;0.15057;NA;5;5
"nonopioid";"black";1998;6.90483;7.27851;0.15079;NA;5;5
"nonopioid";"black";1999;NA;7.43926;NA;NA;5;5
"nonopioid";"black";1999;NA;3.79633;NA;NA;5;5
"nonopioid";"black";1999;4.05272;3.88017;0.11313;NA;5;5
"nonopioid";"black";2000;3.82677;4.05345;0.10865;NA;5;5
"nonopioid";"black";2001;4.20327;4.23447;0.11259;NA;5;5
"nonopioid";"black";2002;4.53018;4.42358;0.11521;NA;5;5
"nonopioid";"black";2003;4.68722;4.62113;0.11661;Joinpoint 1;5;5
"nonopioid";"black";2004;5.03569;5.18640;0.11967;NA;5;5
"nonopioid";"black";2005;5.82841;5.82081;0.12705;NA;5;5
"nonopioid";"black";2006;6.48051;6.53283;0.13310;Joinpoint 2;5;5
"nonopioid";"black";2007;6.03705;5.78978;0.12739;NA;5;5
"nonopioid";"black";2008;4.90324;5.13125;0.11410;NA;5;5
"nonopioid";"black";2009;4.61605;4.54762;0.10959;Joinpoint 3;5;5
"nonopioid";"black";2010;4.56122;4.60911;0.10825;NA;5;5
"nonopioid";"black";2011;4.76734;4.67144;0.10997;NA;5;5
"nonopioid";"black";2012;4.63576;4.73461;0.10778;NA;5;5
"nonopioid";"black";2013;4.86814;4.79864;0.10946;NA;5;5
"nonopioid";"black";2014;4.86290;4.86353;0.10885;Joinpoint 4;5;5
"nonopioid";"black";2015;5.50794;5.63058;0.11516;NA;5;5
"nonopioid";"black";2016;6.68065;6.51860;0.12619;NA;5;5
"nonopioid";"black";2017;7.63748;7.54668;0.13393;Joinpoint 5;5;5
"nonopioid";"black";2018;7.01870;7.34091;0.12753;NA;5;5
"nonopioid";"black";2019;7.29534;7.14075;0.12949;NA;5;5
"nonopioid";"total";1979;3.28766;3.26544;0.04084;NA;5;5
"nonopioid";"total";1980;3.15328;3.18631;0.03985;NA;5;5
"nonopioid";"total";1981;3.10844;3.10909;0.03925;NA;5;5
"nonopioid";"total";1982;3.01904;3.03375;0.03815;Joinpoint 1;5;5
"nonopioid";"total";1983;3.01411;3.09818;0.03798;NA;5;5
"nonopioid";"total";1984;3.01787;3.16398;0.03746;NA;5;5
"nonopioid";"total";1985;3.14243;3.23117;0.03796;NA;5;5
"nonopioid";"total";1986;3.45190;3.29980;0.03931;NA;5;5
"nonopioid";"total";1987;3.43840;3.36988;0.03886;NA;5;5
"nonopioid";"total";1988;3.73364;3.44145;0.04010;NA;5;5
"nonopioid";"total";1989;3.70294;3.51454;0.03965;NA;5;5
"nonopioid";"total";1990;3.35688;3.58918;0.03767;NA;5;5
"nonopioid";"total";1991;3.55059;3.66540;0.03828;NA;5;5
"nonopioid";"total";1992;3.67493;3.74325;0.03854;NA;5;5
"nonopioid";"total";1993;3.87673;3.82275;0.03930;NA;5;5
"nonopioid";"total";1994;3.97925;3.90393;0.03948;NA;5;5
"nonopioid";"total";1995;3.84569;3.98684;0.03851;NA;5;5
"nonopioid";"total";1996;4.01600;4.07152;0.03908;NA;5;5
"nonopioid";"total";1997;4.23659;4.15799;0.03989;NA;5;5
"nonopioid";"total";1998;4.24350;4.24629;0.03969;NA;5;5
"nonopioid";"total";1999;NA;4.29115;NA;NA;5;5
"nonopioid";"total";1999;NA;3.16403;NA;NA;5;5
"nonopioid";"total";1999;3.20863;3.19746;0.03431;NA;5;5
"nonopioid";"total";2000;3.18766;3.26536;0.03364;Joinpoint 2;5;5
"nonopioid";"total";2001;3.46634;3.56725;0.03489;NA;5;5
"nonopioid";"total";2002;4.01839;3.89704;0.03739;NA;5;5
"nonopioid";"total";2003;4.41077;4.25732;0.03903;NA;5;5
"nonopioid";"total";2004;4.64977;4.65091;0.03991;NA;5;5
"nonopioid";"total";2005;5.00017;5.08089;0.04118;NA;5;5
"nonopioid";"total";2006;5.60263;5.55062;0.04341;Joinpoint 3;5;5
"nonopioid";"total";2007;5.73751;5.57149;0.04372;NA;5;5
"nonopioid";"total";2008;5.47490;5.59243;0.04260;NA;5;5
"nonopioid";"total";2009;5.32931;5.61346;0.04190;NA;5;5
"nonopioid";"total";2010;5.47453;5.63456;0.04230;NA;5;5
"nonopioid";"total";2011;5.85493;5.65574;0.04370;NA;5;5
"nonopioid";"total";2012;5.73005;5.67701;0.04309;NA;5;5
"nonopioid";"total";2013;5.85034;5.69835;0.04340;NA;5;5
"nonopioid";"total";2014;5.66048;5.71977;0.04265;Joinpoint 4;5;5
"nonopioid";"total";2015;5.91364;6.05022;0.04355;NA;5;5
"nonopioid";"total";2016;6.50895;6.39976;0.04559;NA;5;5
"nonopioid";"total";2017;6.86346;6.76949;0.04678;Joinpoint 5;5;5
"nonopioid";"total";2018;6.15088;6.39972;0.04407;NA;5;5
"nonopioid";"total";2019;6.17042;6.05016;0.04405;NA;5;5
"nonopioid";"white";1979;3.31075;3.27972;0.04369;NA;5;5
"nonopioid";"white";1980;3.15637;3.18663;0.04249;NA;5;5
"nonopioid";"white";1981;3.06389;3.09618;0.04160;NA;5;5
"nonopioid";"white";1982;3.00504;3.00830;0.04072;Joinpoint 1;5;5
"nonopioid";"white";1983;3.02409;3.06087;0.04067;NA;5;5
"nonopioid";"white";1984;2.97237;3.11435;0.03985;NA;5;5
"nonopioid";"white";1985;3.13218;3.16877;0.04068;NA;5;5
"nonopioid";"white";1986;3.39782;3.22413;0.04186;NA;5;5
"nonopioid";"white";1987;3.31097;3.28047;0.04104;NA;5;5
"nonopioid";"white";1988;3.59514;3.33779;0.04238;NA;5;5
"nonopioid";"white";1989;3.53422;3.39611;0.04178;NA;5;5
"nonopioid";"white";1990;3.30050;3.45545;0.04029;NA;5;5
"nonopioid";"white";1991;3.39042;3.51583;0.04044;NA;5;5
"nonopioid";"white";1992;3.51842;3.57726;0.04083;NA;5;5
"nonopioid";"white";1993;3.62953;3.63977;0.04123;NA;5;5
"nonopioid";"white";1994;3.69990;3.70337;0.04133;NA;5;5
"nonopioid";"white";1995;3.60162;3.76808;0.04053;NA;5;5
"nonopioid";"white";1996;3.80086;3.83392;0.04141;NA;5;5
"nonopioid";"white";1997;4.01979;3.90091;0.04240;NA;5;5
"nonopioid";"white";1998;4.01601;3.96907;0.04219;NA;5;5
"nonopioid";"white";1999;NA;4.00360;NA;NA;5;5
"nonopioid";"white";1999;NA;3.23307;NA;NA;5;5
"nonopioid";"white";1999;3.20128;3.26119;0.03759;NA;5;5
"nonopioid";"white";2000;3.26916;3.31818;0.03764;Joinpoint 2;5;5
"nonopioid";"white";2001;3.55605;3.65357;0.03915;NA;5;5
"nonopioid";"white";2002;4.17631;4.02286;0.04232;NA;5;5
"nonopioid";"white";2003;4.63549;4.42948;0.04453;NA;5;5
"nonopioid";"white";2004;4.88340;4.87720;0.04564;NA;5;5
"nonopioid";"white";2005;5.21131;5.37018;0.04703;NA;5;5
"nonopioid";"white";2006;5.85874;5.91298;0.04978;Joinpoint 3;5;5
"nonopioid";"white";2007;6.11904;5.97302;0.05076;NA;5;5
"nonopioid";"white";2008;5.98585;6.03367;0.05015;NA;5;5
"nonopioid";"white";2009;5.84529;6.09493;0.04951;NA;5;5
"nonopioid";"white";2010;6.05938;6.15681;0.05035;NA;5;5
"nonopioid";"white";2011;6.49277;6.21932;0.05216;NA;5;5
"nonopioid";"white";2012;6.37785;6.28247;0.05163;NA;5;5
"nonopioid";"white";2013;6.49411;6.34626;0.05202;NA;5;5
"nonopioid";"white";2014;6.25466;6.41069;0.05111;Joinpoint 4;5;5
"nonopioid";"white";2015;6.47492;6.67380;0.05211;NA;5;5
"nonopioid";"white";2016;7.06732;6.94770;0.05447;NA;5;5
"nonopioid";"white";2017;7.35223;7.23284;0.05566;Joinpoint 5;5;5
"nonopioid";"white";2018;6.48868;6.76314;0.05208;NA;5;5
"nonopioid";"white";2019;6.45681;6.32393;0.05192;NA;5;5
"opioid";"black";1979;0.61918;0.60254;0.05219;NA;2;2
"opioid";"black";1980;0.71032;0.66738;0.05678;NA;2;2
"opioid";"black";1981;0.72608;0.73921;0.05752;NA;2;2
"opioid";"black";1982;0.96976;0.81876;0.06539;NA;2;2
"opioid";"black";1983;0.83059;0.90687;0.06032;NA;2;2
"opioid";"black";1984;0.94342;1.00447;0.06299;NA;2;2
"opioid";"black";1985;1.07238;1.11257;0.06682;NA;2;2
"opioid";"black";1986;1.22215;1.23231;0.07056;NA;2;2
"opioid";"black";1987;1.22076;1.36492;0.07114;NA;2;2
"opioid";"black";1988;1.70396;1.51182;0.08237;NA;2;2
"opioid";"black";1989;1.88100;1.67452;0.08474;NA;2;2
"opioid";"black";1990;1.52870;1.85473;0.07553;NA;2;2
"opioid";"black";1991;1.73915;2.05433;0.08067;NA;2;2
"opioid";"black";1992;2.12687;2.27541;0.08837;NA;2;2
"opioid";"black";1993;2.81868;2.52029;0.09990;NA;2;2
"opioid";"black";1994;2.92635;2.79152;0.10186;Joinpoint 1;2;2
"opioid";"black";1995;3.13056;2.81240;0.10425;NA;2;2
"opioid";"black";1996;2.65215;2.83343;0.09393;NA;2;2
"opioid";"black";1997;2.73390;2.85462;0.09409;NA;2;2
"opioid";"black";1998;2.80939;2.87597;0.09468;NA;2;2
"opioid";"black";1999;NA;2.88671;NA;NA;2;2
"opioid";"black";1999;NA;3.38164;NA;NA;2;2
"opioid";"black";1999;3.52621;3.39426;0.10429;NA;2;2
"opioid";"black";2000;3.44416;3.41965;0.10144;NA;2;2
"opioid";"black";2001;3.34886;3.44522;0.09914;NA;2;2
"opioid";"black";2002;3.60326;3.47099;0.10200;NA;2;2
"opioid";"black";2003;3.45569;3.49695;0.09901;NA;2;2
"opioid";"black";2004;3.15453;3.52310;0.09370;NA;2;2
"opioid";"black";2005;3.41430;3.54945;0.09678;NA;2;2
"opioid";"black";2006;4.15387;3.57600;0.10584;NA;2;2
"opioid";"black";2007;3.51996;3.60274;0.09646;NA;2;2
"opioid";"black";2008;3.39137;3.62969;0.09392;NA;2;2
"opioid";"black";2009;3.55758;3.65683;0.09559;NA;2;2
"opioid";"black";2010;3.33422;3.68418;0.09151;NA;2;2
"opioid";"black";2011;3.70493;3.71174;0.09605;NA;2;2
"opioid";"black";2012;4.00753;3.73950;0.09935;Joinpoint 2;2;2
"opioid";"black";2013;4.63104;4.67913;0.10589;NA;2;2
"opioid";"black";2014;5.54574;5.85486;0.11584;NA;2;2
"opioid";"black";2015;6.56178;7.32601;0.12549;NA;2;2
"opioid";"black";2016;10.27352;9.16683;0.15560;NA;2;2
"opioid";"black";2017;12.73676;11.47019;0.17258;NA;2;2
"opioid";"black";2018;13.91307;14.35232;0.17935;NA;2;2
"opioid";"black";2019;17.10150;17.95865;0.19832;NA;2;2
"opioid";"total";1979;0.45593;0.37534;0.01460;NA;3;3
"opioid";"total";1980;0.42643;0.41468;0.01409;NA;3;3
"opioid";"total";1981;0.45958;0.45815;0.01456;NA;3;3
"opioid";"total";1982;0.56734;0.50618;0.01590;NA;3;3
"opioid";"total";1983;0.55075;0.55924;0.01558;NA;3;3
"opioid";"total";1984;0.59644;0.61786;0.01608;NA;3;3
"opioid";"total";1985;0.73857;0.68262;0.01780;NA;3;3
"opioid";"total";1986;0.82411;0.75418;0.01868;NA;3;3
"opioid";"total";1987;0.69936;0.83323;0.01721;NA;3;3
"opioid";"total";1988;0.88028;0.92057;0.01918;NA;3;3
"opioid";"total";1989;0.99788;1.01707;0.02034;NA;3;3
"opioid";"total";1990;0.90655;1.12369;0.01915;NA;3;3
"opioid";"total";1991;0.99572;1.24147;0.01999;NA;3;3
"opioid";"total";1992;1.34521;1.37161;0.02310;NA;3;3
"opioid";"total";1993;1.76252;1.51539;0.02626;NA;3;3
"opioid";"total";1994;1.79642;1.67423;0.02638;NA;3;3
"opioid";"total";1995;1.96053;1.84973;0.02736;NA;3;3
"opioid";"total";1996;1.96613;2.04363;0.02724;NA;3;3
"opioid";"total";1997;2.18640;2.25785;0.02855;NA;3;3
"opioid";"total";1998;2.49597;2.49452;0.03038;NA;3;3
"opioid";"total";1999;NA;2.62200;NA;NA;3;3
"opioid";"total";1999;NA;2.74428;NA;NA;3;3
"opioid";"total";1999;2.94391;2.88453;0.03283;NA;3;3
"opioid";"total";2000;2.97492;3.18689;0.03247;NA;3;3
"opioid";"total";2001;3.32341;3.52095;0.03413;NA;3;3
"opioid";"total";2002;4.13969;3.89003;0.03796;NA;3;3
"opioid";"total";2003;4.45562;4.29780;0.03924;NA;3;3
"opioid";"total";2004;4.68551;4.74830;0.04006;NA;3;3
"opioid";"total";2005;5.02330;5.24604;0.04129;NA;3;3
"opioid";"total";2006;5.84073;5.79594;0.04434;Joinpoint 1;3;3
"opioid";"total";2007;6.11372;6.04635;0.04524;NA;3;3
"opioid";"total";2008;6.40671;6.30757;0.04617;NA;3;3
"opioid";"total";2009;6.61932;6.58008;0.04681;NA;3;3
"opioid";"total";2010;6.79291;6.86436;0.04736;NA;3;3
"opioid";"total";2011;7.30274;7.16092;0.04906;NA;3;3
"opioid";"total";2012;7.37650;7.47030;0.04922;NA;3;3
"opioid";"total";2013;7.89550;7.79304;0.05075;Joinpoint 2;3;3
"opioid";"total";2014;9.00574;9.15330;0.05420;NA;3;3
"opioid";"total";2015;10.38267;10.75099;0.05819;NA;3;3
"opioid";"total";2016;13.22011;12.62756;0.06561;NA;3;3
"opioid";"total";2017;14.83362;14.83167;0.06939;Joinpoint 3;3;3
"opioid";"total";2018;14.52946;15.01355;0.06859;NA;3;3
"opioid";"total";2019;15.43339;15.19766;0.07061;NA;3;3
"opioid";"white";1979;0.44008;0.33789;0.01532;NA;3;3
"opioid";"white";1980;0.39744;0.37538;0.01454;NA;3;3
"opioid";"white";1981;0.43468;0.41703;0.01511;NA;3;3
"opioid";"white";1982;0.52596;0.46330;0.01638;NA;3;3
"opioid";"white";1983;0.52330;0.51470;0.01624;NA;3;3
"opioid";"white";1984;0.56502;0.57181;0.01678;NA;3;3
"opioid";"white";1985;0.71289;0.63526;0.01877;NA;3;3
"opioid";"white";1986;0.79446;0.70574;0.01975;NA;3;3
"opioid";"white";1987;0.64725;0.78404;0.01780;NA;3;3
"opioid";"white";1988;0.79832;0.87103;0.01970;NA;3;3
"opioid";"white";1989;0.91177;0.96768;0.02103;NA;3;3
"opioid";"white";1990;0.84872;1.07504;0.02006;NA;3;3
"opioid";"white";1991;0.93488;1.19432;0.02097;NA;3;3
"opioid";"white";1992;1.28901;1.32684;0.02455;NA;3;3
"opioid";"white";1993;1.69095;1.47405;0.02800;NA;3;3
"opioid";"white";1994;1.71163;1.63760;0.02805;NA;3;3
"opioid";"white";1995;1.88016;1.81930;0.02924;NA;3;3
"opioid";"white";1996;1.95227;2.02115;0.02969;NA;3;3
"opioid";"white";1997;2.20044;2.24541;0.03142;NA;3;3
"opioid";"white";1998;2.56444;2.49454;0.03384;NA;3;3
"opioid";"white";1999;NA;2.62929;NA;NA;3;3
"opioid";"white";1999;NA;2.91846;NA;NA;3;3
"opioid";"white";1999;3.00772;3.07611;0.03654;NA;3;3
"opioid";"white";2000;3.10459;3.41741;0.03679;NA;3;3
"opioid";"white";2001;3.55662;3.79658;0.03925;NA;3;3
"opioid";"white";2002;4.51861;4.21782;0.04418;NA;3;3
"opioid";"white";2003;4.94388;4.68580;0.04616;NA;3;3
"opioid";"white";2004;5.27808;5.20570;0.04760;NA;3;3
"opioid";"white";2005;5.66336;5.78328;0.04919;NA;3;3
"opioid";"white";2006;6.59894;6.42495;0.05302;NA;3;3
"opioid";"white";2007;7.05551;7.13782;0.05479;Joinpoint 1;3;3
"opioid";"white";2008;7.44834;7.43765;0.05627;NA;3;3
"opioid";"white";2009;7.68635;7.75008;0.05712;NA;3;3
"opioid";"white";2010;7.99604;8.07564;0.05835;NA;3;3
"opioid";"white";2011;8.59231;8.41487;0.06056;NA;3;3
"opioid";"white";2012;8.65059;8.76835;0.06078;NA;3;3
"opioid";"white";2013;9.25301;9.13668;0.06280;Joinpoint 2;3;3
"opioid";"white";2014;10.53997;10.68403;0.06714;NA;3;3
"opioid";"white";2015;12.20049;12.49344;0.07242;NA;3;3
"opioid";"white";2016;15.28500;14.60928;0.08127;NA;3;3
"opioid";"white";2017;16.99170;17.08345;0.08570;Joinpoint 3;3;3
"opioid";"white";2018;16.43434;16.93318;0.08436;NA;3;3
"opioid";"white";2019;17.02835;16.78422;0.08590;NA;3;3
