"opioid_type";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value"
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;5;2017;2015;2017;11.788994;64.370340;0.183143;0.856224;-0.004264;0.031890;-0.133713;0.894745;-0.122265;0.036564;-3.343806;0.002706
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;0;NA;NA;NA;-39.517864;10.652047;-3.709884;0.001093;0.020594;0.005368;3.836438;0.000796;NA;NA;NA;NA
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;1;1990;1981;2001;-101.794663;11.542206;-8.819342;0.000000;0.051888;0.005785;8.970249;0.000000;0.031295;0.007891;3.965672;0.000575
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;2;2000;1994;2008;-208.444421;21.350117;-9.763151;0.000000;0.105213;0.010658;9.871772;0.000000;0.053325;0.012127;4.397361;0.000192
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;3;2006;2002;2011;-67.488659;10.021311;-6.734514;0.000001;0.034946;0.004985;7.009704;0.000000;-0.070267;0.011766;-5.971860;0.000004
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;4;2014;2011;2014;-262.109966;63.413318;-4.133358;0.000376;0.131580;0.031462;4.182185;0.000332;0.096634;0.031855;3.033596;0.005729
"drug";"white";5;41;12;29;758.885284;26.168458;Uncorrelated;5;2017;2015;2017;63.162861;59.596838;1.059836;0.299770;-0.029685;0.029525;-1.005417;0.324726;-0.161266;0.043146;-3.737646;0.001020
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;0;NA;NA;NA;-85.307922;14.302981;-5.964346;0.000004;0.043690;0.007178;6.086284;0.000003;NA;NA;NA;NA
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;1;2003;1981;2005;-228.943308;505.959921;-0.452493;0.654978;0.115400;0.252407;0.457200;0.651639;0.071710;0.252509;0.283991;0.778853
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;2;2006;1985;2008;244.764783;493.596281;0.495881;0.624489;-0.120745;0.245882;-0.491070;0.627837;-0.236146;0.352374;-0.670157;0.509155
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;3;2009;1999;2011;-24.797470;162.682488;-0.152429;0.880123;0.013432;0.080875;0.166084;0.869482;0.134177;0.258841;0.518377;0.608942
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;4;2014;2005;2014;-292.691750;444.523063;-0.658440;0.516523;0.146448;0.220547;0.664023;0.513005;0.133016;0.234908;0.566248;0.576482
"nonopioid";"black";5;41;12;29;214.474049;7.395657;Uncorrelated;5;2017;2009;2017;58.453354;401.311872;0.145656;0.885410;-0.027645;0.198816;-0.139047;0.890573;-0.174093;0.296932;-0.586305;0.563145
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;0;NA;NA;NA;49.732447;111.707511;0.445202;0.660163;-0.024532;0.056418;-0.434826;0.667574;NA;NA;NA;NA
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;1;1982;1981;2002;-40.542797;6.868698;-5.902545;0.000004;0.021015;0.003449;6.093939;0.000003;0.045548;0.056524;0.805816;0.428262
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;2;2000;1995;2007;-175.358201;36.635374;-4.786581;0.000071;0.088423;0.018289;4.834896;0.000063;0.067408;0.018611;3.621961;0.001361
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;3;2006;2004;2011;-5.508724;18.311292;-0.300838;0.766129;0.003752;0.009110;0.411908;0.684063;-0.084671;0.020432;-4.144062;0.000366
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;4;2014;2008;2014;-111.068719;130.513106;-0.851016;0.403172;0.056166;0.064754;0.867369;0.394330;0.052413;0.065392;0.801527;0.430691
"nonopioid";"total";5;41;12;29;418.510778;14.431406;Uncorrelated;5;2017;2015;2017;115.513257;130.072358;0.888069;0.383318;-0.056171;0.064440;-0.871672;0.392024;-0.112336;0.091354;-1.229677;0.230737
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;0;NA;NA;NA;58.170720;90.207288;0.644856;0.525137;-0.028794;0.045560;-0.632002;0.533360;NA;NA;NA;NA
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;1;1982;1981;2001;-33.231382;5.686338;-5.844075;0.000005;0.017322;0.002855;6.067071;0.000003;0.046116;0.045649;1.010231;0.322462
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;2;2000;1984;2008;-191.165321;30.262781;-6.316846;0.000002;0.096289;0.015107;6.373681;0.000001;0.078967;0.015375;5.136146;0.000029
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;3;2006;1995;2011;-18.273784;14.962378;-1.221316;0.233829;0.010102;0.007444;1.357122;0.187370;-0.086187;0.016842;-5.117512;0.000031
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;4;2014;2004;2014;-78.934964;108.096829;-0.730225;0.472321;0.040222;0.053632;0.749956;0.460570;0.030120;0.054146;0.556266;0.583179
"nonopioid";"white";5;41;12;29;339.231259;11.697630;Uncorrelated;5;2017;2015;2017;137.624783;110.370443;1.246935;0.224454;-0.067145;0.054679;-1.227983;0.231361;-0.107367;0.076591;-1.401817;0.173771
"opioid";"black";2;41;6;35;348.544922;9.958426;Uncorrelated;0;NA;NA;NA;-202.785245;23.343492;-8.687014;0.000000;0.102213;0.011742;8.705199;0.000000;NA;NA;NA;NA
"opioid";"black";2;41;6;35;348.544922;9.958426;Uncorrelated;1;1994;1992;1997;-13.830981;10.148556;-1.362852;0.182157;0.007451;0.005065;1.471197;0.150710;-0.094761;0.012787;-7.410589;0.000000
"opioid";"black";2;41;6;35;348.544922;9.958426;Uncorrelated;2;2012;2010;2013;-449.849459;21.593073;-20.833045;0.000000;0.224160;0.010706;20.937522;0.000000;0.216709;0.011844;18.297455;0.000000
"opioid";"total";3;41;8;33;906.245979;27.461999;Uncorrelated;0;NA;NA;NA;-198.257198;4.339163;-45.690192;0.000000;0.099685;0.002172;45.902039;0.000000;NA;NA;NA;NA
"opioid";"total";3;41;8;33;906.245979;27.461999;Uncorrelated;1;2006;2004;2009;-83.134311;17.146021;-4.848607;0.000036;0.042296;0.008532;4.957370;0.000026;-0.057389;0.008804;-6.518541;0.000000
"opioid";"total";3;41;8;33;906.245979;27.461999;Uncorrelated;2;2013;2011;2014;-321.850990;39.774534;-8.091886;0.000000;0.160884;0.019738;8.150978;0.000000;0.118588;0.021503;5.514918;0.000005
"opioid";"total";3;41;8;33;906.245979;27.461999;Uncorrelated;3;2017;2015;2017;-21.932329;67.549661;-0.324685;0.747673;0.012188;0.033465;0.364206;0.718259;-0.148695;0.038852;-3.827207;0.000613
"opioid";"white";3;41;8;33;864.978832;26.211480;Uncorrelated;0;NA;NA;NA;-209.311161;4.552313;-45.979083;0.000000;0.105218;0.002277;46.207222;0.000000;NA;NA;NA;NA
"opioid";"white";3;41;8;33;864.978832;26.211480;Uncorrelated;1;2007;2004;2009;-80.723718;24.570439;-3.285400;0.002596;0.041148;0.012224;3.366301;0.002102;-0.064069;0.012434;-5.152806;0.000015
"opioid";"white";3;41;8;33;864.978832;26.211480;Uncorrelated;2;2013;2011;2014;-312.832434;44.165319;-7.083215;0.000000;0.156453;0.021917;7.138459;0.000000;0.115305;0.025095;4.594697;0.000073
"opioid";"white";3;41;8;33;864.978832;26.211480;Uncorrelated;3;2017;2015;2017;20.554931;77.148594;0.266433;0.791729;-0.008835;0.038221;-0.231171;0.818752;-0.165289;0.044059;-3.751560;0.000752
